year,month,rank_ME,rank_IA,rank_ROE,ret_vw
1990,9,1,1,1,-7.7219
1990,10,1,1,1,-8.2987
1990,11,1,1,1,3.4663
1990,12,1,1,1,-1.0712
1991,1,1,1,1,8.9252
1991,2,1,1,1,14.9643
1991,3,1,1,1,5.8542
1991,4,1,1,1,-1.2629
1991,5,1,1,1,3.6935
1991,6,1,1,1,-6.4397
1991,7,1,1,1,1.7850
1991,8,1,1,1,2.2370
1991,9,1,1,1,-0.3251
1991,10,1,1,1,3.1528
1991,11,1,1,1,-5.3273
1991,12,1,1,1,4.5389
1992,1,1,1,1,12.8249
1992,2,1,1,1,2.7199
1992,3,1,1,1,-3.4561
1992,4,1,1,1,-5.3188
1992,5,1,1,1,-0.8041
1992,6,1,1,1,-5.8103
1992,7,1,1,1,1.4611
1992,8,1,1,1,-4.6830
1992,9,1,1,1,-0.3226
1992,10,1,1,1,0.6577
1992,11,1,1,1,7.2153
1992,12,1,1,1,1.4394
1993,1,1,1,1,3.5884
1993,2,1,1,1,-0.1905
1993,3,1,1,1,0.6309
1993,4,1,1,1,-1.6163
1993,5,1,1,1,6.5886
1993,6,1,1,1,-0.4124
1993,7,1,1,1,1.2304
1993,8,1,1,1,4.1114
1993,9,1,1,1,1.1631
1993,10,1,1,1,5.7639
1993,11,1,1,1,-3.1926
1993,12,1,1,1,0.7270
1994,1,1,1,1,6.1618
1994,2,1,1,1,-1.0561
1994,3,1,1,1,-6.8953
1994,4,1,1,1,-3.0710
1994,5,1,1,1,-1.1151
1994,6,1,1,1,-4.9333
1994,7,1,1,1,1.0975
1994,8,1,1,1,5.5837
1994,9,1,1,1,0.9481
1994,10,1,1,1,-1.6476
1994,11,1,1,1,-4.3012
1994,12,1,1,1,-1.2448
1995,1,1,1,1,0.5545
1995,2,1,1,1,2.5233
1995,3,1,1,1,0.7179
1995,4,1,1,1,1.6908
1995,5,1,1,1,2.2556
1995,6,1,1,1,6.5964
1995,7,1,1,1,5.3696
1995,8,1,1,1,4.1875
1995,9,1,1,1,2.2884
1995,10,1,1,1,-7.7479
1995,11,1,1,1,3.0380
1995,12,1,1,1,4.7586
1996,1,1,1,1,4.3532
1996,2,1,1,1,1.2011
1996,3,1,1,1,0.7450
1996,4,1,1,1,5.0865
1996,5,1,1,1,6.5700
1996,6,1,1,1,-7.2352
1996,7,1,1,1,-10.1866
1996,8,1,1,1,4.2944
1996,9,1,1,1,2.6392
1996,10,1,1,1,-2.5726
1996,11,1,1,1,1.9017
1996,12,1,1,1,2.0705
1997,1,1,1,1,5.2306
1997,2,1,1,1,-0.3898
1997,3,1,1,1,-5.9682
1997,4,1,1,1,-4.4877
1997,5,1,1,1,12.0813
1997,6,1,1,1,2.6384
1997,7,1,1,1,5.2403
1997,8,1,1,1,4.5661
1997,9,1,1,1,8.7456
1997,10,1,1,1,-2.3120
1997,11,1,1,1,-1.7543
1997,12,1,1,1,-3.4017
1998,1,1,1,1,0.2019
1998,2,1,1,1,5.6606
1998,3,1,1,1,5.3480
1998,4,1,1,1,2.4497
1998,5,1,1,1,-5.3509
1998,6,1,1,1,-3.1506
1998,7,1,1,1,-7.7951
1998,8,1,1,1,-22.6732
1998,9,1,1,1,6.8752
1998,10,1,1,1,3.2962
1998,11,1,1,1,9.7362
1998,12,1,1,1,0.0803
1999,1,1,1,1,7.3232
1999,2,1,1,1,-8.6189
1999,3,1,1,1,-0.6361
1999,4,1,1,1,12.3630
1999,5,1,1,1,3.5879
1999,6,1,1,1,8.3889
1999,7,1,1,1,1.1178
1999,8,1,1,1,0.5338
1999,9,1,1,1,1.8672
1999,10,1,1,1,1.4887
1999,11,1,1,1,14.1795
1999,12,1,1,1,21.5431
2000,1,1,1,1,8.7907
2000,2,1,1,1,43.3842
2000,3,1,1,1,-17.0808
2000,4,1,1,1,-17.8201
2000,5,1,1,1,-11.7614
2000,6,1,1,1,27.2113
2000,7,1,1,1,-3.6069
2000,8,1,1,1,12.7890
2000,9,1,1,1,-2.1165
2000,10,1,1,1,-9.3236
2000,11,1,1,1,-17.3279
2000,12,1,1,1,0.8989
2001,1,1,1,1,13.4435
2001,2,1,1,1,-13.7504
2001,3,1,1,1,-7.8373
2001,4,1,1,1,8.4258
2001,5,1,1,1,7.1829
2001,6,1,1,1,1.8372
2001,7,1,1,1,-6.9987
2001,8,1,1,1,-4.9503
2001,9,1,1,1,-19.5442
2001,10,1,1,1,8.6749
2001,11,1,1,1,11.6023
2001,12,1,1,1,6.1481
2002,1,1,1,1,0.3895
2002,2,1,1,1,-2.1345
2002,3,1,1,1,11.7011
2002,4,1,1,1,-0.5888
2002,5,1,1,1,-5.8060
2002,6,1,1,1,-6.5226
2002,7,1,1,1,-20.0551
2002,8,1,1,1,-2.7470
2002,9,1,1,1,-12.6204
2002,10,1,1,1,8.4821
2002,11,1,1,1,21.7892
2002,12,1,1,1,-12.2195
2003,1,1,1,1,-1.9644
2003,2,1,1,1,-3.7987
2003,3,1,1,1,1.7477
2003,4,1,1,1,13.4869
2003,5,1,1,1,19.5263
2003,6,1,1,1,1.9496
2003,7,1,1,1,10.1057
2003,8,1,1,1,6.4668
2003,9,1,1,1,0.9127
2003,10,1,1,1,9.8434
2003,11,1,1,1,3.2928
2003,12,1,1,1,2.1624
2004,1,1,1,1,10.5242
2004,2,1,1,1,-1.4035
2004,3,1,1,1,-1.3365
2004,4,1,1,1,-6.6549
2004,5,1,1,1,-0.7934
2004,6,1,1,1,2.1864
2004,7,1,1,1,-10.3105
2004,8,1,1,1,-1.7132
2004,9,1,1,1,3.2314
2004,10,1,1,1,2.7962
2004,11,1,1,1,9.3823
2004,12,1,1,1,6.6026
2005,1,1,1,1,-7.5990
2005,2,1,1,1,-0.1310
2005,3,1,1,1,-3.6185
2005,4,1,1,1,-7.4938
2005,5,1,1,1,7.4182
2005,6,1,1,1,3.3551
2005,7,1,1,1,7.8178
2005,8,1,1,1,-0.5814
2005,9,1,1,1,1.3417
2005,10,1,1,1,-5.4697
2005,11,1,1,1,4.5023
2005,12,1,1,1,0.8565
2006,1,1,1,1,10.7211
2006,2,1,1,1,1.9384
2006,3,1,1,1,3.3943
2006,4,1,1,1,-1.0080
2006,5,1,1,1,-6.4728
2006,6,1,1,1,-1.2956
2006,7,1,1,1,-3.8274
2006,8,1,1,1,5.0384
2006,9,1,1,1,-0.4629
2006,10,1,1,1,7.2539
2006,11,1,1,1,2.0769
2006,12,1,1,1,0.7183
2007,1,1,1,1,3.5544
2007,2,1,1,1,-0.3979
2007,3,1,1,1,1.0429
2007,4,1,1,1,2.8117
2007,5,1,1,1,1.9217
2007,6,1,1,1,-2.4346
2007,7,1,1,1,-7.0796
2007,8,1,1,1,-1.4904
2007,9,1,1,1,-0.7074
2007,10,1,1,1,2.7868
2007,11,1,1,1,-9.9700
2007,12,1,1,1,0.5616
2008,1,1,1,1,-8.3104
2008,2,1,1,1,-4.2928
2008,3,1,1,1,-1.5345
2008,4,1,1,1,2.9843
2008,5,1,1,1,6.3866
2008,6,1,1,1,-9.9810
2008,7,1,1,1,3.9941
2008,8,1,1,1,3.3067
2008,9,1,1,1,-11.5593
2008,10,1,1,1,-25.6291
2008,11,1,1,1,-16.7203
2008,12,1,1,1,2.9830
2009,1,1,1,1,-7.4058
2009,2,1,1,1,-14.4969
2009,3,1,1,1,13.1639
2009,4,1,1,1,31.1610
2009,5,1,1,1,5.8188
2009,6,1,1,1,3.5266
2009,7,1,1,1,16.4947
2009,8,1,1,1,9.2618
2009,9,1,1,1,8.1347
2009,10,1,1,1,-10.7197
2009,11,1,1,1,2.3015
2009,12,1,1,1,9.2895
2010,1,1,1,1,-1.0692
2010,2,1,1,1,6.6473
2010,3,1,1,1,10.0937
2010,4,1,1,1,9.8455
2010,5,1,1,1,-12.4976
2010,6,1,1,1,-12.0315
2010,7,1,1,1,8.1241
2010,8,1,1,1,-9.0784
2010,9,1,1,1,13.9038
2010,10,1,1,1,3.9488
2010,11,1,1,1,5.4589
2010,12,1,1,1,12.1625
2011,1,1,1,1,0.7566
2011,2,1,1,1,6.6769
2011,3,1,1,1,3.4747
2011,4,1,1,1,1.7146
2011,5,1,1,1,-3.1807
2011,6,1,1,1,-4.5129
2011,7,1,1,1,-4.6288
2011,8,1,1,1,-13.4177
2011,9,1,1,1,-11.7290
2011,10,1,1,1,13.6243
2011,11,1,1,1,0.6390
2011,12,1,1,1,1.6076
2012,1,1,1,1,9.4696
2012,2,1,1,1,5.1367
2012,3,1,1,1,3.7890
2012,4,1,1,1,-1.3697
2012,5,1,1,1,-6.9968
2012,6,1,1,1,6.6688
2012,7,1,1,1,-4.0492
2012,8,1,1,1,2.8081
2012,9,1,1,1,4.1515
2012,10,1,1,1,-2.8755
2012,11,1,1,1,2.0340
2012,12,1,1,1,3.5190
2013,1,1,1,1,7.2428
2013,2,1,1,1,0.4796
2013,3,1,1,1,4.9411
2013,4,1,1,1,0.4429
2013,5,1,1,1,5.6667
2013,6,1,1,1,-0.9363
2013,7,1,1,1,8.0833
2013,8,1,1,1,-4.1010
2013,9,1,1,1,6.2882
2013,10,1,1,1,2.1242
2013,11,1,1,1,4.5648
2013,12,1,1,1,2.4375
2014,1,1,1,1,0.2474
2014,2,1,1,1,6.9725
2014,3,1,1,1,-0.6673
2014,4,1,1,1,-5.7204
2014,5,1,1,1,0.4773
2014,6,1,1,1,6.1854
2014,7,1,1,1,-4.1306
2014,8,1,1,1,4.3968
2014,9,1,1,1,-7.4976
2014,10,1,1,1,1.8181
2014,11,1,1,1,-0.4279
2014,12,1,1,1,1.3023
2015,1,1,1,1,-3.9580
2015,2,1,1,1,7.4280
2015,3,1,1,1,-0.9886
2015,4,1,1,1,-2.8420
2015,5,1,1,1,1.8780
2015,6,1,1,1,-3.7462
2015,7,1,1,1,-7.8907
2015,8,1,1,1,-6.7301
2015,9,1,1,1,-10.8085
2015,10,1,1,1,7.3158
2015,11,1,1,1,6.2775
2015,12,1,1,1,-7.4087
2016,1,1,1,1,-12.0352
2016,2,1,1,1,-0.3287
2016,3,1,1,1,10.5550
2016,4,1,1,1,5.3183
2016,5,1,1,1,-1.7693
2016,6,1,1,1,-2.1740
2016,7,1,1,1,6.1901
2016,8,1,1,1,4.1603
2016,9,1,1,1,5.0465
2016,10,1,1,1,-9.0626
2016,11,1,1,1,10.9665
2016,12,1,1,1,-1.1693
2017,1,1,1,1,2.3064
2017,2,1,1,1,-1.3547
2017,3,1,1,1,-1.0273
2017,4,1,1,1,-1.9302
2017,5,1,1,1,-3.4885
2017,6,1,1,1,4.2314
2017,7,1,1,1,-0.6638
2017,8,1,1,1,-3.2337
2017,9,1,1,1,8.2441
2017,10,1,1,1,-3.3269
2017,11,1,1,1,1.1072
2017,12,1,1,1,2.7384
2018,1,1,1,1,4.7296
2018,2,1,1,1,-2.3320
2018,3,1,1,1,-0.0556
2018,4,1,1,1,1.8558
2018,5,1,1,1,10.6967
2018,6,1,1,1,0.2335
2018,7,1,1,1,0.5209
2018,8,1,1,1,4.0384
2018,9,1,1,1,-3.0018
2018,10,1,1,1,-13.6628
2018,11,1,1,1,-1.0021
2018,12,1,1,1,-13.8367
2019,1,1,1,1,13.3747
2019,2,1,1,1,2.4394
2019,3,1,1,1,0.0641
2019,4,1,1,1,-0.0373
2019,5,1,1,1,-9.0327
2019,6,1,1,1,6.6873
2019,7,1,1,1,-1.8475
2019,8,1,1,1,-8.0823
2019,9,1,1,1,1.8561
2019,10,1,1,1,1.2437
2019,11,1,1,1,4.6232
2019,12,1,1,1,7.9088
1967,1,1,1,2,11.1319
1967,2,1,1,2,2.5606
1967,3,1,1,2,3.1344
1967,4,1,1,2,4.1738
1967,5,1,1,2,0.0949
